과목명,하천명,부과대상 소재지주소,점용면적(제곱미터),점용목적,데이터기준일자
하천점용,안산천,경기도 안산시상록구 장하동   263번지,1517,(하천법)농작물의 경작을 목적으로 하는 점용,2025-04-30
하천점용,안산천,경기도 안산시단원구 고잔동   570번지 2호,41,(하천법)일반 공작물,2025-04-30
하천점용,반월천,경기도 안산시상록구 팔곡일동   457번지 6호,89,(하천법)일반 공작물,2025-04-30
하천점용,건건천,경기도 안산시상록구 건건동   920번지 31호,38,(하천법)일반 공작물,2025-04-30
하천점용,안산천,경기도 안산시상록구 월피동   536번지 45호,22,(하천법)일반 공작물,2025-04-30
하천점용,신길천,경기도 안산시단원구 성곡동   692번지,5188,(하천법)일반 공작물,2025-04-30
하천점용,안산천,경기도 안산시단원구 고잔동   570번지 2호,67,(하천법)관로 등의 매설을 위한 점용,2025-04-30
하천점용,외곽배수로,경기도 안산시단원구 성곡동   692번지,37,(하천법)일반 공작물,2025-04-30
하천점용,신길천,경기도 안산시단원구 신길동   1068번지,2254,(하천법)일반 공작물,2025-04-30
하천점용,신길천,경기도 안산시 단원구 성곡동   692번지 ,154.44,(하천법)일반 공작물,2025-04-30
하천점용,신길천,경기도 안산시단원구 신길동   288번지 22호,800,(하천법)농작물의 경작을 목적으로 하는 점용,2025-04-30
하천점용,신길천,경기도 안산시단원구 신길동   288번지 27호,92,(하천법)일반 공작물,2025-04-30
하천점용,신길천,경기도 안산시단원구 신길동   1070번지 23호,8,(하천법)일반 공작물,2025-04-30
하천점용,안산천,경기도 안산시상록구 양상동   339번지 13호,494,(하천법)농작물의 경작을 목적으로 하는 점용,2025-04-30
하천점용,안산천,경기도 안산시상록구 성포동   679번지 13호,260,(하천법)일반 공작물,2025-04-30
하천점용,안산천,경기도 안산시상록구 장하동   340번지 8호,891,(하천법)농작물의 경작을 목적으로 하는 점용,2025-04-30
하천점용,안산천,경기도 안산시상록구 장하동   340번지 8호,490,(하천법)농작물의 경작을 목적으로 하는 점용,2025-04-30
하천점용,반월천,경기도 안산시상록구 팔곡이동   590번지 29호,58,(하천법)관로 등의 매설을 위한 점용,2025-04-30
하천점용,반월천,경기도 안산시상록구 팔곡일동   653번지 32호,185,(하천법)일반 공작물,2025-04-30
하천점용,반월천,경기도 안산시상록구 팔곡일동   679번지,71,(하천법)관로 등의 매설을 위한 점용,2025-04-30
하천점용,화정천,경기도 안산시단원구 초지동   665번지 2호,134,(하천법)일반 공작물,2025-04-30
하천점용,안산천,경기도 안산시단원구 고잔동  570번지 2호 ,105,(하천법)일반 공작물,2025-04-30
하천점용,화정천,경기도 안산시단원구 초지동  665번지 2호 ,96,(하천법)일반 공작물,2025-04-30
하천점용,반월천,경기도 안산시상록구 팔곡이동   248번지 7호,40,(하천법)일반 공작물,2025-04-30
하천점용,외곽배수로,경기도 안산시단원구 성곡동   692번지,248,(하천법)일반 공작물,2025-04-30
하천점용,반월천,경기도 안산시상록구 팔곡이동   182번지 2호,175,(하천법)관로 등의 매설을 위한 점용,2025-04-30
하천점용,반월천,경기도 안산시상록구 팔곡일동   653번지 28호,612,(하천법)농작물의 경작을 목적으로 하는 점용,2025-04-30
하천점용,반월천,경기도 안산시상록구 팔곡이동   590번지 28호,823,(하천법)농작물의 경작을 목적으로 하는 점용,2025-04-30
하천점용,안산천,경기도 안산시단원구 고잔동   847번지,197.4,(하천법)일반 공작물,2025-04-30
하천점용,안산천,경기도 안산시단원구 고잔동   831번지,183.12,(하천법)일반 공작물,2025-04-30
하천점용,안산천,경기도 안산시상록구 이동   759번지,354,(하천법)일반 공작물,2025-04-30
하천점용,안산천,경기도 안산시상록구 사동   1629번지,286.4,(하천법)일반 공작물,2025-04-30
하천점용,안산천,경기도 안산시상록구 장하동   340번지 78호 경기도 안산시상록구 장하동   340번지 78호,168,(하천법)야적장을 위한 점용,2025-04-30
하천점용,안산천,경기도 안산시단원구 고잔동   786번지,223,(하천법)일반 공작물,2025-04-30
하천점용,안산천,경기도 안산시단원구 고잔동   847번지,221,(하천법)일반 공작물,2025-04-30
하천점용,안산천,경기도 안산시단원구 고잔동   831번지,213,(하천법)일반 공작물,2025-04-30
하천점용,건건천,경기도 안산시상록구 건건동   819번지 5호,460,(하천법)농작물의 경작을 목적으로 하는 점용,2025-04-30
하천점용,반월천,경기도 안산시상록구 팔곡일동   323번지 13호,30,(하천법)그 밖의 목적을 위한 점용,2025-04-30
하천점용,신길천,경기도 안산시단원구 성곡동   692번지,203,(하천법)일반 공작물,2025-04-30
하천점용,신길천,경기도 안산시단원구 성곡동   692번지,85,(하천법)일반 공작물,2025-04-30
하천점용,안산천,경기도 안산시상록구 장하동   27번지 4호,137,(하천법)그 밖의 목적을 위한 점용,2025-04-30
하천점용,반월천,경기도 안산시상록구 팔곡일동  653번지 93호 ,15,(하천법)일반 공작물,2025-04-30
하천점용,건건천,경기도 안산시상록구 건건동   984번지 3호,9.6,(하천법)일반 공작물,2025-04-30
하천점용,안산천,경기도 안산시상록구 양상동   302번지 1호,13,(하천법)그 밖의 목적을 위한 점용,2025-04-30
하천점용,화정천,경기도 안산시단원구 와동   879번지,316,(하천법)일반 공작물,2025-04-30
하천점용,화정천,경기도 안산시단원구 초지동   665번지 2호,189,(하천법)일반 공작물,2025-04-30
하천점용,외곽배수로,경기도 안산시단원구 성곡동   692번지,3,(하천법)일반 공작물,2025-04-30
하천점용,신길천,경기도 안산시단원구 성곡동   692번지,54,(하천법)일반 공작물,2025-04-30
하천점용,안산천,경기도 안산시상록구 월피동   397번지,5,(하천법)일반 공작물,2025-04-30
하천점용,안산천,경기도 안산시상록구 월피동   20번지,1.8,(하천법)일반 공작물,2025-04-30
하천점용,안산천,경기도 안산시상록구 양상동   339번지 11호,2.8,(하천법)일반 공작물,2025-04-30
하천점용,안산천,경기도 안산시상록구 양상동   308번지 1호,2,(하천법)일반 공작물,2025-04-30
하천점용,화정천,경기도 안산시단원구 고잔동   786번지,35,(하천법)일반 공작물,2025-04-30
하천점용,화정천,경기도 안산시단원구 초지동   752번지,35,(하천법)일반 공작물,2025-04-30
하천점용,화정천,경기도 안산시단원구 고잔동   814번지,7.5,(하천법)일반 공작물,2025-04-30
하천점용,화정천,경기도 안산시단원구 초지동   782번지,7.5,(하천법)일반 공작물,2025-04-30
하천점용,안산천,경기도 안산시단원구 고잔동   847번지,12.3,(하천법)일반 공작물,2025-04-30
하천점용,안산천,경기도 안산시상록구 사동   1629번지,12.3,(하천법)일반 공작물,2025-04-30
하천점용,안산천,경기도 안산시단원구 고잔동   831번지,30,(하천법)일반 공작물,2025-04-30
하천점용,안산천,경기도 안산시상록구 이동   759번지,30,(하천법)일반 공작물,2025-04-30
하천점용,신길천,경기도 안산시단원구 성곡동   692번지,334,(하천법)일반 공작물,2025-04-30
하천점용,안산천,경기도 안산시상록구 장하동   340번지 71호,847,(하천법)일반 공작물,2025-04-30
하천점용,반월천,경기도 안산시상록구 팔곡일동   653번지 53호,25,(하천법)농작물의 경작을 목적으로 하는 점용,2025-04-30
하천점용,신길천,경기도 안산시단원구 성곡동   692번지,84,(하천법)일반 공작물,2025-04-30
하천점용,화정천,경기도 안산시단원구 초지동   665번지 2호,16.79,(하천법)관로 등의 매설을 위한 점용,2025-04-30
하천점용,안산천,경기도 안산시단원구 고잔동   570번지 2호,45.35,(하천법)관로 등의 매설을 위한 점용,2025-04-30
하천점용,신길천,경기도 안산시단원구 성곡동   692번지,88.8,(하천법)관로 등의 매설을 위한 점용,2025-04-30
하천점용,신길천,경기도 안산시단원구 성곡동   692번지,200,(하천법)관로 등의 매설을 위한 점용,2025-04-30
하천점용,반월천,경기도 안산시상록구 팔곡일동  653번지 57호 ,397,(하천법)농작물의 경작을 목적으로 하는 점용,2025-04-30
하천점용,반월천,경기도 안산시 상록구 팔곡일동   455번지 1호,3,(하천법)일반 공작물,2025-04-30
하천점용,건건천,경기도 안산시 상록구 건건동   956번지 17호,85.92,(하천법)관로 등의 매설을 위한 점용,2025-04-30
하천점용,화정천,경기도 안산시 단원구 와동   879번지 ,10.8,(하천법)관로 등의 매설을 위한 점용,2025-04-30
하천점용,안산천,경기도 안산시 상록구 성포동   679번지 14호,27,(하천법)관로 등의 매설을 위한 점용,2025-04-30
하천점용,화정천,경기도 안산시단원구 초지동   665번지 2호,63,(하천법)관로 등의 매설을 위한 점용,2025-04-30
하천점용,반월천,경기도 안산시 상록구 팔곡일동  653번지 3호 ,20,(하천법)일반 공작물,2025-04-30
하천점용,안산천,경기도 안산시 상록구 장하동  340번지 57호 ,53,(하천법)일반 공작물,2025-04-30
하천점용,안산천,경기도 안산시 단원구 초지동  792번지 ,179.54,(하천법)관로 등의 매설을 위한 점용,2025-04-30
하천점용,안산천,경기도 안산시 상록구 장하동  116번지 9호 ,30,(하천법)그 밖의 목적을 위한 점용,2025-04-30
하천점용,신길천,경기도 안산시 단원구 성곡동  775번지 ,30.7,(하천법)일반 공작물,2025-04-30
하천점용,안산천,경기도 안산시 상록구 장하동  304번지 ,13,(하천법)그 밖의 목적을 위한 점용,2025-04-30
하천점용,안산천,경기도 안산시 상록구 장상동  483번지 ,16,(하천법)그 밖의 목적을 위한 점용,2025-04-30
하천점용,반월천,경기도 안산시 상록구 팔곡일동  456번지 ,84.71,(하천법)관로 등의 매설을 위한 점용,2025-04-30
하천점용,정왕천,경기도 안산시 단원구 성곡동  780번지 ,44,(하천법)관로 등의 매설을 위한 점용,2025-04-30
하천점용,안산천,경기도 안산시 상록구 장하동  100번지 1호 ,20,(하천법)그 밖의 목적을 위한 점용,2025-04-30
하천점용,반월천,경기도 안산시 상록구 팔곡이동  117번지 ,470,(하천법)일반 공작물,2025-04-30
하천점용,안산천,경기도 안산시 상록구 양상동  297번지 1호 ,55,(하천법)그 밖의 목적을 위한 점용,2025-04-30
하천점용,안산천,경기도 안산시 상록구 장하동  116번지 9호 ,38,(하천법)그 밖의 목적을 위한 점용,2025-04-30
하천점용,안산천,경기도 안산시 상록구 장하동  116번지 9호 ,162,(하천법)농작물의 경작을 목적으로 하는 점용,2025-04-30
하천점용,신길천,경기도 안산시단원구 성곡동  하천  789번지       ,30.4,(하천법)일반 공작물,2025-04-30
하천점용,건건천,경기도 안산시 상록구 건건동  956번지 6호 ,276,(하천법)그 밖의 목적을 위한 점용,2025-04-30
하천점용,안산천,경기도 안산시 상록구 장하동  100번지 1호 ,10,(하천법)그 밖의 목적을 위한 점용,2025-04-30
하천점용,반월천,경기도 안산시 상록구 팔곡일동  679번지 ,2,(하천법)그 밖의 목적을 위한 점용,2025-04-30
하천점용,반월천,경기도 안산시 상록구 팔곡이동  64번지 1호 ,33,(하천법)그 밖의 목적을 위한 점용,2025-04-30
하천점용,반월천,경기도 안산시 상록구 건건동  984번지 ,1,(하천법)일반 공작물,2025-04-30
하천점용,반월천,경기도 안산시 상록구 팔곡일동  653번지 14호 ,1967,(하천법)관로 등의 매설을 위한 점용,2025-04-30
하천점용,안산천,경기도 안산시 상록구 양상동  302번지 1호 ,110,(하천법)농작물의 경작을 목적으로 하는 점용,2025-04-30
하천점용,화정천,경기도 안산시 단원구 초지동  602번지 2호 ,109.32,(하천법)일반 공작물,2025-04-30
하천점용,화정천,경기도 안산시 단원구 초지동  602번지 2호 ,109.32,(하천법)일반 공작물,2025-04-30
하천점용,안산천,경기도 안산시 단원구 고잔동  570번지 2호 ,101,(하천법)일반 공작물,2025-04-30
하천점용,반월천,경기도 안산시 상록구 팔곡일동  677번지 ,0.13,(하천법)일반 공작물,2025-04-30
하천점용,안산천,경기도 안산시 상록구 장하동  304번지 ,0.14,(하천법)일반 공작물,2025-04-30
하천점용,건건천,경기도 안산시 상록구 건건동  929번지 ,3,(하천법)일반 공작물,2025-04-30
하천점용,"반월천, 안산천, 외곽배수로",경기도 안산시 상록구 팔곡일동  679번지 ,113.5,(하천법)일반 공작물,2025-04-30
하천점용,안산천,경기도 안산시 단원구 초지동  795번지 ,1260,(하천법)일반 공작물,2025-04-30
하천점용,반월천,경기도 안산시 상록구 팔곡일동  205번지 3호 ,130,(하천법)일반 공작물,2025-04-30
하천점용,반월천,경기도 안산시 상록구 팔곡일동  677번지 ,0.38,(하천법)집합건물,2025-04-30
하천점용,반월천,경기도 안산시 상록구 팔곡이동  112번지 3호 ,0.3,(하천법)일반 공작물,2025-04-30
하천점용,건건천,경기도 안산시 상록구 건건동  956번지 28호 ,46,(하천법)그 밖의 목적을 위한 점용,2025-04-30
하천점용,안산천,경기도 안산시 상록구 양상동  297번지 1호 ,154,(하천법)그 밖의 목적을 위한 점용,2025-04-30
하천점용,안산천,경기도 안산시 상록구 장하동  88번지 1호 ,30,(하천법)그 밖의 목적을 위한 점용,2025-04-30
하천점용,화정천,경기도 안산시 단원구 초지동  665번지 2호 ,9.5,(하천법)일반 공작물,2025-04-30
하천점용,반월천,경기도 안산시 상록구 팔곡이동  204번지 2호 ,53,(하천법)관로 등의 매설을 위한 점용,2025-04-30
하천점용,안산천,경기도 안산시 상록구 장하동  340번지 16호 ,0.25,전주,2025-04-30
하천점용,건건천,경기도 안산시 상록구 건건동  927번지 1호 ,0.13,전주,2025-04-30
하천점용,안산천,경기도 안산시 상록구 부곡동  134번지 3호 ,16,(하천법)일반 공작물,2025-04-30
하천점용,안산천,경기도 안산시 상록구 사동  1629번지 ,8,(하천법)일반 공작물,2025-04-30
하천점용,건건천,경기도 안산시 상록구 건건동  984번지 ,8,(하천법)그 밖의 목적을 위한 점용,2025-04-30
하천점용,반월천,경기도 안산시 상록구 팔곡이동  64번지 9호 ,0.08,전주,2025-04-30
하천점용,신길천,경기도 안산시 단원구 신길동  288번지 22호 ,977,(하천법)그 밖의 목적을 위한 점용,2025-04-30
하천점용,안산천,경기도 안산시 상록구 장하동  88번지 1호 ,21,(하천법)그 밖의 목적을 위한 점용,2025-04-30
하천점용,안산천,경기도 안산시 상록구 양상동  297번지 1호 ,48,(하천법)그 밖의 목적을 위한 점용,2025-04-30
하천점용,신길천,경기도 안산시 단원구 신길동  1069번지 ,31.1,(하천법)일반 공작물,2025-04-30
하천점용,안산천,경기도 안산시 상록구 월피동  397번지 16호 ,1,(하천법)그 밖의 목적을 위한 점용,2025-04-30
하천점용,화정천,경기도 안산시 단원구 초지동  752번지 ,1,(하천법)그 밖의 목적을 위한 점용,2025-04-30
하천점용,안산천,경기도 안산시 상록구 부곡동  158번지 7호 ,10,(하천법)관로 등의 매설을 위한 점용,2025-04-30
하천점용,안산천,경기도 안산시 상록구 장하동  23번지 12호 ,0.08,(하천법)일반 공작물,2025-04-30
하천점용,신길천,경기도 안산시 단원구 성곡동  856번지 ,1274,(하천법)일반 공작물,2025-04-30
하천점용,안산천,경기도 안산시 상록구 장하동  304번지 3호 ,32,(하천법)그 밖의 목적을 위한 점용,2025-04-30
하천점용,화정천,경기도 안산시 단원구 와동  879번지 ,35,(하천법)그 밖의 목적을 위한 점용,2025-04-30
하천점용,반월천,경기도 안산시 상록구 팔곡일동  653번지 14호 ,0.1,(하천법)일반 공작물,2025-04-30
하천점용,"신길천, 안산천",경기도 안산시 단원구 성곡동  789번지 ,2,(하천법)일반 공작물,2025-04-30
하천점용,신길천,경기도 안산시 단원구 성곡동  856번지 ,1500,(하천법)일반 공작물,2025-04-30
하천점용,안산천,경기도 안산시 상록구 장하동  340번지 87호 ,365,(하천법)그 밖의 목적을 위한 점용,2025-04-30
하천점용,신길천,경기도 안산시 단원구 신길동  1066번지 1호 ,0.26,(하천법)일반 공작물,2025-04-30
하천점용,반월천,경기도 안산시 상록구 팔곡이동  248번지 3호 ,15.6,(하천법)관로 등의 매설을 위한 점용,2025-04-30
하천점용,안산천,경기도 안산시 상록구 사동  1629번지 ,303,"스케이트장, 유선장, 도선장 및 계류장(유,도선의 모선을 포함하며, 유선장, 도선장 및 계류장은 부유식인 경우로 한정한다), 운동장, 풀장, 대기장 및 탈의장(매점을 포함한다)",2025-04-30
하천점용,건건천,경기도 안산시 상록구 건건동  984번지 8호 ,2,(하천법)일반 공작물,2025-04-30
하천점용,,경기도 안산시 상록구 팔곡이동  144번지 2호 ,516.75,(하천법)관로 등의 매설을 위한 점용,2025-04-30
하천점용,신길천,경기도 안산시 단원구 성곡동  856번지 ,289.41,(하천법)관로 등의 매설을 위한 점용,2025-04-30
하천점용,반월천,경기도 안산시 상록구 팔곡일동  300번지 4호 ,1,(하천법)일반 공작물,2025-04-30
하천점용,신길천,경기도 안산시단원구 성곡동  692번지 ,6,(하천법)일반 공작물,2025-04-30
하천점용,,경기도 안산시 상록구 팔곡일동  222번지 ,165,(하천법)그 밖의 목적을 위한 점용,2025-04-30
하천점용,,경기도 안산시 상록구 건건동  956번지 6호 ,181,(하천법)그 밖의 목적을 위한 점용,2025-04-30
하천점용,화정천,경기도 안산시 단원구 초지동  665번지 2호 ,16,(하천법)그 밖의 목적을 위한 점용,2025-04-30
하천점용,안산천,경기도 안산시 상록구 장하동  340번지 80호 ,120,(하천법)농작물의 경작을 목적으로 하는 점용,2025-04-30
하천점용,분지천,경기도 안산시단원구 대부동동  2063번지 3호 ,250,(하천법)그 밖의 목적을 위한 점용,2025-04-30
하천점용,,경기도 안산시 상록구 팔곡이동  265번지 1호 ,241,(하천법)일반 공작물,2025-04-30
하천점용,,경기도 안산시 상록구 장하동  340번지 203호 ,84,(하천법)그 밖의 목적을 위한 점용,2025-04-30
하천점용,반월천,경기도 안산시 상록구 팔곡일동  511번지 1호 ,0,(소하천법)공업용수,2025-04-30
하천점용,안산천,경기도 안산시 상록구 이동  491번지 66호 ,70,(하천법)그 밖의 목적을 위한 점용,2025-04-30
하천점용,,경기도 안산시 단원구 초지동  1번지 1433호 ,50,(하천법)그 밖의 목적을 위한 점용,2025-04-30
하천점용,,경기도 안산시 상록구 건건동  919번지 ,17.5,(하천법)그 밖의 목적을 위한 점용,2025-04-30
하천점용,,경기도 안산시 상록구 건건동  956번지 ,754.06,(하천법)관로 등의 매설을 위한 점용,2025-04-30
하천점용,,경기도 안산시 단원구 신길동  288번지 12호 ,22.5,(하천법)그 밖의 목적을 위한 점용,2025-04-30
하천점용,,경기도 안산시 상록구 건건동  679번지 1호 ,91.2,(하천법)관로 등의 매설을 위한 점용,2025-04-30
하천점용,,경기도 안산시 상록구 팔곡이동 64번지 9호 ,0.51,(하천법)그 밖의 목적을 위한 점용,2025-04-30
하천점용,,경기도 안산시 단원구 신길동 1241번지 2호 ,0.4,(소하천법)그 밖의 목적을 위한 점용,2025-04-30
하천점용,신길천,경기도 안산시 단원구 성곡동 692번지 ,0.24,(하천법)일반 공작물,2025-04-30
하천점용,,경기도 안산시 단원구 성곡동 692번지 ,31,(하천법)관로 등의 매설을 위한 점용,2025-04-30
